BATCHSENDER,BATCHRECEIVER,XID,BATCHDATE,MSG_CODE,MSG_LEVEL,MSG_NAME,DESCRIPTION,ORGCODE,REFPOSITIONID
НСИ,OSGMU,468174fb-dc13-44ce-94fa-ec9ad89265cf,17.09.2018 16:02:45,XVE,критичная,Ошибка валидации по схеме,cvc-minLength-valid: Значение '' с параметром length = '0' не является допустимым с учетом minLength '8' для типа 'tStringExactly8'.,362D0376,cab84d88-573b-4b2d-ae27-2f9863158c06
НСИ,OSGMU,3100f4c1-e702-4c49-b373-ada83a285d50,17.09.2018 15:52:32,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,3100f4c1-e702-4c49-b373-ada83a285d50,17.09.2018 15:52:32,,,,,,
НСИ,OSGMU,0ccce8b9-3597-4035-ab8f-3667ee91cf0a,17.09.2018 15:54:12,,,,,,
НСИ,OSGMU,0ccce8b9-3597-4035-ab8f-3667ee91cf0a,17.09.2018 15:54:12,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,d559a2ff-935d-442a-9db6-28891fc7c369,17.09.2018 15:56:20,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,d559a2ff-935d-442a-9db6-28891fc7c369,17.09.2018 15:56:20,,,,,,
НСИ,OSGMU,8b47171f-9d40-4b13-943e-5ae343c19d52,17.09.2018 15:59:19,,,,,,
НСИ,OSGMU,8b47171f-9d40-4b13-943e-5ae343c19d52,17.09.2018 15:59:19,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,87b488d7-c2e3-45ec-b09e-2fc933636233,17.09.2018 16:00:57,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,87b488d7-c2e3-45ec-b09e-2fc933636233,17.09.2018 16:00:57,,,,,,
НСИ,OSGMU,34c0e415-3172-42eb-9b70-5d5c3ad20f1f,17.09.2018 16:02:37,,,,,,
НСИ,OSGMU,34c0e415-3172-42eb-9b70-5d5c3ad20f1f,17.09.2018 16:02:37,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,3236d1a4-ec07-4811-9443-1cdc53ff2511,17.09.2018 16:04:16,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,3236d1a4-ec07-4811-9443-1cdc53ff2511,17.09.2018 16:04:16,,,,,,
НСИ,OSGMU,3682b7e6-e9d3-4a63-967c-da572d2eacba,17.09.2018 16:05:22,,,,,,
НСИ,OSGMU,3682b7e6-e9d3-4a63-967c-da572d2eacba,17.09.2018 16:05:22,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,04767f1a-e0fb-4f6e-9185-ca6c844c55c4,17.09.2018 16:07:18,,,,,,
